Date,Trade_return,Quote_return,,average ,standard deviation
2017/11/22 20:01,0.00021865,0.000143841,,8.08E-07,0.000451863
2017/11/22 20:02,0.0000805,0.000092,,,
2017/11/22 20:03,0.0000805,0.000092,,,
2017/11/22 20:04,0.000207063,0.00019556,,,
2017/11/22 20:05,0.0000805,0.0000748,,,
2017/11/22 20:06,0.0000805,0.0000748,,,
2017/11/22 20:07,0.000114993,0.000160994,,,
2017/11/22 20:08,0.000092,0.000103479,,,
2017/11/22 20:09,0.000092,0.000103468,,,
2017/11/22 20:10,0.000252908,0.000252897,,,
2017/11/22 20:11,-0.000114929,-0.000126416,,,
2017/11/22 20:12,-0.000114943,-0.000126432,,,
2017/11/22 20:13,-0.000229911,-0.000229906,,,
2017/11/22 20:14,-0.000023,-0.0000345,,,
2017/11/22 20:15,-0.000023,-0.0000345,,,
2017/11/22 20:16,-0.000046,0,,,
2017/11/22 20:17,-0.0000115,-0.000023,,,
2017/11/22 20:18,-0.0000115,-0.000023,,,
2017/11/22 20:19,-0.000023,-0.000046,,,
2017/11/22 20:20,0.000023,0.0000345,,,
2017/11/22 20:21,0.000023,0.0000345,,,
2017/11/22 20:22,0.000183988,0.000160986,,,
2017/11/22 20:23,-0.0000345,-0.000023,,,
2017/11/22 20:24,-0.0000345,-0.000023,,,
2017/11/22 20:25,-0.000344939,-0.000321935,,,
2017/11/22 20:26,0.0000115,0.0000115,,,
2017/11/22 20:27,0.0000115,0.0000115,,,
2017/11/22 20:28,0.00020703,0.00010351,,,
2017/11/22 20:29,0.0000115,0.0000517,,,
2017/11/22 20:30,0.0000115,0.0000517,,,
2017/11/22 20:31,0.000183984,0.00018398,,,
2017/11/22 20:32,-0.000046,-0.0000632,,,
2017/11/22 20:33,-0.000046,-0.0000632,,,
2017/11/22 20:34,-0.000046,-0.000046,,,
2017/11/22 20:35,-0.0000115,0.00000575,,,
2017/11/22 20:36,-0.0000115,0.00000575,,,
2017/11/22 20:37,-0.000069,-0.000046,,,
2017/11/22 20:38,-0.000023,-0.000046,,,
2017/11/22 20:39,-0.000023,-0.000046,,,
2017/11/22 20:40,-0.000230001,-0.000207001,,,
2017/11/22 20:41,0.0000345,0.0000345,,,
2017/11/22 20:42,0.0000345,0.0000345,,,
2017/11/22 20:43,0.000552092,0.000506073,,,
2017/11/22 20:44,0.000183929,0.000183933,,,
2017/11/22 20:45,0.000183895,0.0001839,,,
2017/11/22 20:46,0.00025281,0.000275799,,,
2017/11/22 20:47,0.000103396,0.0000919,,,
2017/11/22 20:48,0.000103385,0.0000919,,,
2017/11/22 20:49,0.000023,0.0000689,,,
2017/11/22 20:50,0.0000689,0.0000804,,,
2017/11/22 20:51,0.0000689,0.0000804,,,
2017/11/22 20:52,0.000229684,0.000160772,,,
2017/11/22 20:53,0.000126297,0.000137782,,,
2017/11/22 20:54,0.000126281,0.000137763,,,
2017/11/22 20:55,0.000206616,0.000229574,,,
2017/11/22 20:56,-0.0000689,-0.0000574,,,
2017/11/22 20:57,-0.0000689,-0.0000574,,,
2017/11/22 20:58,-0.000137735,-0.000183638,,,
2017/11/22 20:59,-0.0000804,-0.0000746,,,
2017/11/22 21:00,-0.0000804,-0.0000746,,,
2017/11/22 21:01,0,-0.0000344,,,
2017/11/22 21:02,0.000103332,0.0000919,,,
2017/11/22 21:03,0.000103321,0.0000918,,,
2017/11/22 21:04,0.000252537,0.000264028,,,
2017/11/22 21:05,0,0,,,
2017/11/22 21:06,0,0,,,
2017/11/22 21:07,-0.0000689,-0.0000115,,,
2017/11/22 21:08,-0.0000344,-0.0000574,,,
2017/11/22 21:09,-0.0000344,-0.0000574,,,
2017/11/22 21:10,0,0.000023,,,
2017/11/22 21:11,0.000137732,0.000149209,,,
2017/11/22 21:12,0.000137713,0.000149187,,,
2017/11/22 21:13,0.0000918,0.0000918,,,
2017/11/22 21:14,-0.0000803,-0.0000918,,,
2017/11/22 21:15,-0.0000803,-0.0000918,,,
2017/11/22 21:16,-0.000114753,-0.0000689,,,
2017/11/22 21:17,-0.000103289,-0.00011476,,,
2017/11/22 21:18,-0.0001033,-0.000114774,,,
2017/11/22 21:19,-0.000298453,-0.000298446,,,
2017/11/22 21:20,-0.000103341,-0.000103339,,,
2017/11/22 21:21,-0.000103352,-0.00010335,,,
2017/11/22 21:22,0.000183756,0.000137814,,,
2017/11/22 21:23,0.0000459,0.0000804,,,
2017/11/22 21:24,0.0000459,0.0000804,,,
2017/11/22 21:25,0.000023,-0.0000459,,,
2017/11/22 21:26,-0.0000459,-0.0000172,,,
2017/11/22 21:27,-0.0000459,-0.0000172,,,
2017/11/22 21:28,-0.0000344,-0.000103338,,,
2017/11/22 21:29,-0.0000344,-0.0000976,,,
2017/11/22 21:30,-0.000183731,-0.0000976,,,
2017/11/22 21:31,-0.0000459,-0.000023,,,
2017/11/22 21:32,0.0000919,0.0000747,,,
2017/11/22 21:33,0.0000919,0.0000747,,,
2017/11/22 21:34,0.0000919,0.000160775,,,
2017/11/22 21:35,0,-0.0000287,,,
2017/11/22 21:36,0,-0.0000287,,,
2017/11/22 21:37,0.000023,-0.0000115,,,
2017/11/22 21:38,-0.0000459,-0.0000115,,,
2017/11/22 21:39,-0.0000459,-0.0000115,,,
2017/11/22 21:40,0.000023,0.000023,,,
2017/11/22 21:41,-0.000023,-0.0000402,,,
2017/11/22 21:42,-0.000023,-0.0000402,,,
2017/11/22 21:43,-0.0000689,-0.0000804,,,
2017/11/22 21:44,0.0000345,0.0000345,,,
2017/11/22 21:45,0.0000345,0.0000345,,,
